timestamp,cpu_usage,ram_usage,battery_health,temperature,disk_usage,network_usage,health_score
2026-06-28T09:00:00,42.3,56.7,89.0,48.2,58.0,12.4,81.6
2026-06-28T09:05:00,50.1,61.2,88.5,50.1,60.3,15.6,78.7
2026-06-28T09:10:00,58.8,64.7,87.2,53.4,62.1,18.2,74.9
2026-06-28T09:15:00,62.2,68.5,85.7,55.5,64.8,20.1,72.4
2026-06-28T09:20:00,70.4,73.9,84.0,58.0,67.9,22.8,68.1
2026-06-28T09:25:00,76.8,78.3,82.3,61.2,70.4,24.5,64.7
2026-06-28T09:30:00,80.2,82.6,79.8,64.1,74.8,26.0,60.2
2026-06-28T09:35:00,79.1,81.4,78.0,63.5,76.1,27.3,61.4
2026-06-28T09:40:00,74.3,77.0,80.4,60.9,72.6,25.8,66.2
2026-06-28T09:45:00,68.6,71.8,83.2,57.4,69.0,23.2,71.0
